GHG Intensity (kg CO2e/sq ft)_sqrt,GHG Intensity (kg CO2e/sq ft),Reporting Status,Reporting Status_Submitted Data,Weather Normalized Source EUI (kBtu/sq ft)_sqrt,Weather Normalized Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_log,Source EUI (kBtu/sq ft)_sqrt,Source EUI (kBtu/sq ft),Chicago Energy Rating
2.50998,6.3,Submitted Data,True,11.0770035,4.817859,4.7379513,10.639549,113.2,4.0
2.626785,6.9,Not Submitted,False,11.555085,4.901713,4.875045,11.400877,129.98,0.0
2.607681,6.8,Submitted Data,True,11.536898,4.898586,4.866765,11.353414,128.9,2.5
3.04959,9.3,Submitted Data,True,13.126309,5.155024,5.1387353,13.019217,169.5,2.0
2.04939,4.2,Submitted Data,True,9.005554,4.407938,4.3463993,8.729261,76.2,4.0
3.0983868,9.6,Submitted Data,True,13.364131,5.190732,5.1806593,13.296617,176.8,1.0
2.345208,5.5,Submitted Data,True,10.0697565,4.6288867,4.601162,9.929753,98.6,4.0
2.2135944,4.9,Submitted Data,True,9.674709,4.5496573,4.527209,9.565563,91.5,4.0
3.065942,9.4,Submitted Data,True,13.438005,5.2016964,5.1628413,13.178012,173.66,0.0
2.4698179,6.1,Submitted Data,True,10.931605,4.79165,4.768988,10.8074045,116.8,2.5
2.738613,7.5,Submitted Data,True,11.949896,4.9684234,4.9133897,11.623253,135.1,4.0
2.9899833,8.94,Exempt,False,13.255942,5.1745667,5.127054,12.942952,167.52,1.9
3.4351127,11.8,Submitted Data,True,15.016658,5.4227448,5.3990674,14.839137,220.2,1.0
3.4058774,11.6,Not Submitted,False,14.8734665,5.403668,5.3826585,14.717337,216.6,0.0
1.8165902,3.3,Submitted Data,True,8.043631,4.185099,4.15104,7.905694,62.5,4.0
2.7018511,7.3,Submitted Data,True,12.049896,4.9849753,4.951593,11.8490505,140.4,3.5
2.4576411,6.04,Exempt,False,10.747092,4.757891,4.728626,10.589618,112.14,2.9
1.9748417,3.9,Submitted Data,True,8.502941,4.2945604,4.284965,8.4616785,71.6,4.0
2.4124677,5.82,Not Submitted,False,10.509995,4.713666,4.696655,10.420173,108.58,0.0
2.792848,7.8,Submitted Data,True,12.095453,4.992471,4.9677277,11.94571,142.7,2.0
3.8078866,14.5,Submitted Data,True,16.831518,5.65003,5.612763,16.519686,272.9,1.0
2.7568097,7.6,Submitted Data,True,12.36123,5.035653,4.961445,11.907981,141.8,2.0
2.828427,8.0,Exempt,False,12.306909,5.026902,4.9897523,12.078907,145.9,3.7
2.607681,6.8,Submitted Data,True,11.467345,4.886583,4.8567066,11.296017,127.6,3.0
