Date,Open,Date_year,Date_month,Date_day,Date_dayofweek,Date_quarter
2016-01-05 16:00:00,54.93,2016.0,1.0,5.0,1.0,1.0
2016-01-06 16:00:00,54.32,2016.0,1.0,6.0,2.0,1.0
2016-01-07 16:00:00,52.7,2016.0,1.0,7.0,3.0,1.0
2016-01-08 16:00:00,52.37,2016.0,1.0,8.0,4.0,1.0
2016-01-11 16:00:00,52.51,2016.0,1.0,11.0,0.0,1.0
2016-01-12 16:00:00,52.76,2016.0,1.0,12.0,1.0,1.0
Unknown,53.8,0.0,0.0,0.0,0.0,0.0
Unknown,52.0,0.0,0.0,0.0,0.0,0.0
Unknown,51.31,0.0,0.0,0.0,0.0,0.0
Unknown,51.48,0.0,0.0,0.0,0.0,0.0
Unknown,49.98,0.0,0.0,0.0,0.0,0.0
Unknown,51.0,0.0,0.0,0.0,0.0,0.0
Unknown,51.41,0.0,0.0,0.0,0.0,0.0
Unknown,51.94,0.0,0.0,0.0,0.0,0.0
Unknown,51.79,0.0,0.0,0.0,0.0,0.0
Unknown,52.01,0.0,0.0,0.0,0.0,0.0
Unknown,51.86,0.0,0.0,0.0,0.0,0.0
Unknown,54.73,0.0,0.0,0.0,0.0,0.0
2016-02-01 16:00:00,54.88,2016.0,2.0,1.0,0.0,1.0
2016-02-02 16:00:00,54.17,2016.0,2.0,2.0,1.0,1.0
2016-02-03 16:00:00,53.25,2016.0,2.0,3.0,2.0,1.0
2016-02-04 16:00:00,52.1,2016.0,2.0,4.0,3.0,1.0
2016-02-05 16:00:00,51.94,2016.0,2.0,5.0,4.0,1.0
2016-02-08 16:00:00,49.55,2016.0,2.0,8.0,0.0,1.0
2016-02-09 16:00:00,49.02,2016.0,2.0,9.0,1.0,1.0
2016-02-10 16:00:00,49.89,2016.0,2.0,10.0,2.0,1.0
2016-02-11 16:00:00,48.68,2016.0,2.0,11.0,3.0,1.0
2016-02-12 16:00:00,50.25,2016.0,2.0,12.0,4.0,1.0
Unknown,50.9,0.0,0.0,0.0,0.0,0.0
Unknown,51.49,0.0,0.0,0.0,0.0,0.0
Unknown,52.33,0.0,0.0,0.0,0.0,0.0
Unknown,51.97,0.0,0.0,0.0,0.0,0.0
Unknown,52.28,0.0,0.0,0.0,0.0,0.0
Unknown,52.34,0.0,0.0,0.0,0.0,0.0
Unknown,50.69,0.0,0.0,0.0,0.0,0.0
Unknown,51.73,0.0,0.0,0.0,0.0,0.0
Unknown,52.6,0.0,0.0,0.0,0.0,0.0
Unknown,51.35,0.0,0.0,0.0,0.0,0.0
2016-03-01 16:00:00,50.97,2016.0,3.0,1.0,1.0,1.0
2016-03-02 16:00:00,52.41,2016.0,3.0,2.0,2.0,1.0
2016-03-03 16:00:00,52.97,2016.0,3.0,3.0,3.0,1.0
2016-03-04 16:00:00,52.4,2016.0,3.0,4.0,4.0,1.0
2016-03-07 16:00:00,51.56,2016.0,3.0,7.0,0.0,1.0
2016-03-08 16:00:00,50.8,2016.0,3.0,8.0,1.0,1.0
2016-03-09 16:00:00,51.89,2016.0,3.0,9.0,2.0,1.0
2016-03-10 16:00:00,52.93,2016.0,3.0,10.0,3.0,1.0
2016-03-11 16:00:00,53.0,2016.0,3.0,11.0,4.0,1.0
Unknown,52.71,0.0,0.0,0.0,0.0,0.0
Unknown,52.75,0.0,0.0,0.0,0.0,0.0
Unknown,53.45,0.0,0.0,0.0,0.0,0.0
Unknown,54.21,0.0,0.0,0.0,0.0,0.0
Unknown,54.92,0.0,0.0,0.0,0.0,0.0
Unknown,53.25,0.0,0.0,0.0,0.0,0.0
Unknown,53.61,0.0,0.0,0.0,0.0,0.0
Unknown,54.11,0.0,0.0,0.0,0.0,0.0
Unknown,53.84,0.0,0.0,0.0,0.0,0.0
Unknown,54.21,0.0,0.0,0.0,0.0,0.0
Unknown,53.66,0.0,0.0,0.0,0.0,0.0
Unknown,54.93,0.0,0.0,0.0,0.0,0.0
Unknown,54.95,0.0,0.0,0.0,0.0,0.0
2016-04-01 16:00:00,55.05,2016.0,4.0,1.0,4.0,2.0
2016-04-04 16:00:00,55.43,2016.0,4.0,4.0,0.0,2.0
2016-04-05 16:00:00,55.19,2016.0,4.0,5.0,1.0,2.0
2016-04-06 16:00:00,54.36,2016.0,4.0,6.0,2.0,2.0
2016-04-07 16:00:00,54.87,2016.0,4.0,7.0,3.0,2.0
2016-04-08 16:00:00,54.67,2016.0,4.0,8.0,4.0,2.0
2016-04-11 16:00:00,54.49,2016.0,4.0,11.0,0.0,2.0
2016-04-12 16:00:00,54.37,2016.0,4.0,12.0,1.0,2.0
Unknown,55.12,0.0,0.0,0.0,0.0,0.0
Unknown,55.22,0.0,0.0,0.0,0.0,0.0
Unknown,55.3,0.0,0.0,0.0,0.0,0.0
Unknown,55.49,0.0,0.0,0.0,0.0,0.0
Unknown,56.63,0.0,0.0,0.0,0.0,0.0
Unknown,56.29,0.0,0.0,0.0,0.0,0.0
Unknown,55.8,0.0,0.0,0.0,0.0,0.0
Unknown,51.91,0.0,0.0,0.0,0.0,0.0
Unknown,51.78,0.0,0.0,0.0,0.0,0.0
Unknown,52.26,0.0,0.0,0.0,0.0,0.0
