series,model,status,smape,mae,rmse,mape,training_time,error
Volume,ExponentialSmoothing,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Volume,Holt,failed,,,,,0.0,'str' object has no attribute 'value'
Volume,RandomForest,ok,31.820841725742838,12030500.874441914,18495832.91951775,28.13715040204451,2.83,
Volume,LightGBM,ok,33.52743536393457,12465535.549500117,18320374.242446337,31.630104580220006,1.04,
Volume,NBEATS,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Volume,LSTM,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Volume_log,NaiveSeasonal,ok,2.7404773436188057,0.4726379482901573,0.5929108349978397,2.6870004270818915,0.0,
Volume_log,NaiveDrift,ok,2.393716158276029,0.41398537713521294,0.5318524162337467,2.3528192382285185,0.0,
Volume_log,Theta,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Volume_log,ExponentialSmoothing,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Volume_log,Holt,failed,,,,,0.0,'str' object has no attribute 'value'
Volume_log,RandomForest,ok,1.9942434816504657,0.3458173563105598,0.4568645678215636,1.9722263063151408,2.64,
Volume_log,LightGBM,ok,2.0226735186379012,0.3506024031372586,0.4622848608586163,2.0028133244863464,1.09,
Volume_log,NBEATS,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Volume_log,LSTM,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Volume_sqrt,NaiveSeasonal,ok,23.29959133129214,1334.1059555335014,1769.9516151857226,20.083373005426804,0.0,
Volume_sqrt,NaiveDrift,ok,20.448382713503456,1196.478253802543,1631.2666294603791,17.952162673146386,0.0,
Volume_sqrt,Theta,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Volume_sqrt,ExponentialSmoothing,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Volume_sqrt,Holt,failed,,,,,0.0,'str' object has no attribute 'value'
Volume_sqrt,RandomForest,ok,18.036741351789082,1071.54642195333,1481.0212639826605,16.505960620058865,2.82,
Volume_sqrt,LightGBM,ok,17.06017525358237,1021.0084075726676,1381.9628663290903,16.486437548757607,1.07,
Volume_sqrt,NBEATS,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
Volume_sqrt,LSTM,failed,,,,,0.0,Metric calculation failed: Invalid metric values calculated
