Date,Open,Date_year,Date_day,Date_dayofweek
,120.94,0.0,0.0,0.0
,121.64,0.0,0.0,0.0
,121.24,0.0,0.0,0.0
,122.19,0.0,0.0,0.0
,122.62,0.0,0.0,0.0
,124.1,0.0,0.0,0.0
,125.79,0.0,0.0,0.0
,130.06,0.0,0.0,0.0
,129.7,0.0,0.0,0.0
,129.9,0.0,0.0,0.0
,129.81,0.0,0.0,0.0
2019-05-01 16:00:00,130.53,2019.0,1.0,2.0
2019-05-02 16:00:00,127.98,2019.0,2.0,3.0
2019-05-03 16:00:00,127.36,2019.0,3.0,4.0
2019-05-06 16:00:00,126.39,2019.0,6.0,0.0
2019-05-07 16:00:00,126.46,2019.0,7.0,1.0
2019-05-08 16:00:00,125.44,2019.0,8.0,2.0
2019-05-09 16:00:00,124.29,2019.0,9.0,3.0
2019-05-10 16:00:00,124.91,2019.0,10.0,4.0
,124.11,0.0,0.0,0.0
,123.87,0.0,0.0,0.0
,124.26,0.0,0.0,0.0
,126.75,0.0,0.0,0.0
,128.31,0.0,0.0,0.0
,126.52,0.0,0.0,0.0
,127.43,0.0,0.0,0.0
,126.62,0.0,0.0,0.0
,126.2,0.0,0.0,0.0
,126.91,0.0,0.0,0.0
,126.98,0.0,0.0,0.0
,125.38,0.0,0.0,0.0
,125.26,0.0,0.0,0.0
,124.23,0.0,0.0,0.0
2019-06-03 16:00:00,123.85,2019.0,3.0,0.0
2019-06-04 16:00:00,121.28,2019.0,4.0,1.0
2019-06-05 16:00:00,124.95,2019.0,5.0,2.0
2019-06-06 16:00:00,126.44,2019.0,6.0,3.0
2019-06-07 16:00:00,129.19,2019.0,7.0,4.0
2019-06-10 16:00:00,132.4,2019.0,10.0,0.0
2019-06-11 16:00:00,133.88,2019.0,11.0,1.0
2019-06-12 16:00:00,131.4,2019.0,12.0,2.0
,131.98,0.0,0.0,0.0
,132.26,0.0,0.0,0.0
,132.63,0.0,0.0,0.0
,134.19,0.0,0.0,0.0
,135.0,0.0,0.0,0.0
,137.45,0.0,0.0,0.0
,136.58,0.0,0.0,0.0
,137.0,0.0,0.0,0.0
,137.25,0.0,0.0,0.0
,134.35,0.0,0.0,0.0
,134.14,0.0,0.0,0.0
,134.57,0.0,0.0,0.0
2019-07-01 16:00:00,136.63,2019.0,1.0,0.0
2019-07-02 16:00:00,136.12,2019.0,2.0,1.0
2019-07-03 13:00:00,136.8,2019.0,3.0,2.0
2019-07-05 16:00:00,135.94,2019.0,5.0,4.0
2019-07-08 16:00:00,136.4,2019.0,8.0,0.0
2019-07-09 16:00:00,136.0,2019.0,9.0,1.0
2019-07-10 16:00:00,137.13,2019.0,10.0,2.0
2019-07-11 16:00:00,138.2,2019.0,11.0,3.0
2019-07-12 16:00:00,138.85,2019.0,12.0,4.0
,139.44,0.0,0.0,0.0
,138.96,0.0,0.0,0.0
,137.7,0.0,0.0,0.0
,135.55,0.0,0.0,0.0
,140.22,0.0,0.0,0.0
,137.41,0.0,0.0,0.0
,139.76,0.0,0.0,0.0
,138.9,0.0,0.0,0.0
,140.43,0.0,0.0,0.0
,140.37,0.0,0.0,0.0
,141.5,0.0,0.0,0.0
,140.14,0.0,0.0,0.0
,140.33,0.0,0.0,0.0
2019-08-01 16:00:00,137.0,2019.0,1.0,3.0
2019-08-02 16:00:00,138.09,2019.0,2.0,4.0
2019-08-05 16:00:00,133.3,2019.0,5.0,0.0
2019-08-06 16:00:00,133.8,2019.0,6.0,1.0
2019-08-07 16:00:00,133.79,2019.0,7.0,2.0
2019-08-08 16:00:00,136.6,2019.0,8.0,3.0
2019-08-09 16:00:00,138.61,2019.0,9.0,4.0
2019-08-12 16:00:00,137.07,2019.0,12.0,0.0
,136.05,0.0,0.0,0.0
,136.36,0.0,0.0,0.0
,134.39,0.0,0.0,0.0
,134.88,0.0,0.0,0.0
,137.85,0.0,0.0,0.0
,138.21,0.0,0.0,0.0
,138.55,0.0,0.0,0.0
,138.66,0.0,0.0,0.0
,137.19,0.0,0.0,0.0
,134.99,0.0,0.0,0.0
,136.39,0.0,0.0,0.0
,134.88,0.0,0.0,0.0
,137.25,0.0,0.0,0.0
,139.15,0.0,0.0,0.0
2019-09-03 16:00:00,136.61,2019.0,3.0,1.0
2019-09-04 16:00:00,137.3,2019.0,4.0,2.0
2019-09-05 16:00:00,139.11,2019.0,5.0,3.0
2019-09-06 16:00:00,140.03,2019.0,6.0,4.0
2019-09-09 16:00:00,139.59,2019.0,9.0,0.0
2019-09-10 16:00:00,136.8,2019.0,10.0,1.0
2019-09-11 16:00:00,135.91,2019.0,11.0,2.0
2019-09-12 16:00:00,137.85,2019.0,12.0,3.0
,137.78,0.0,0.0,0.0
,135.83,0.0,0.0,0.0
,136.96,0.0,0.0,0.0
,137.36,0.0,0.0,0.0
,140.3,0.0,0.0,0.0
,141.01,0.0,0.0,0.0
,139.23,0.0,0.0,0.0
,140.36,0.0,0.0,0.0
,137.5,0.0,0.0,0.0
,139.44,0.0,0.0,0.0
,140.15,0.0,0.0,0.0
,138.05,0.0,0.0,0.0
2019-10-01 16:00:00,139.66,2019.0,1.0,1.0
2019-10-02 16:00:00,136.25,2019.0,2.0,2.0
2019-10-03 16:00:00,134.95,2019.0,3.0,3.0
2019-10-04 16:00:00,136.75,2019.0,4.0,4.0
2019-10-07 16:00:00,137.14,2019.0,7.0,0.0
2019-10-08 16:00:00,137.08,2019.0,8.0,1.0
