Date,Open
2016-06-08 16:00:00,52.02
2016-06-09 16:00:00,52.0
2016-06-10 16:00:00,51.05
,49.58
,49.9
,49.78
,49.52
,50.41
,50.64
,50.2
,51.08
,51.28
,49.81
,49.1
,48.92
,49.91
,50.72
2016-07-01 16:00:00,51.13
2016-07-05 16:00:00,50.83
2016-07-06 16:00:00,50.78
2016-07-07 16:00:00,51.42
2016-07-08 16:00:00,51.73
2016-07-11 16:00:00,52.5
2016-07-12 16:00:00,52.94
,53.56
,53.84
,53.95
,53.7
,53.71
,56.15
,55.98
,56.08
,56.47
,56.52
,56.61
,56.0
,56.26
2016-08-01 16:00:00,56.6
2016-08-02 16:00:00,56.85
2016-08-03 16:00:00,56.68
2016-08-04 16:00:00,56.8
2016-08-05 16:00:00,57.65
2016-08-08 16:00:00,58.06
2016-08-09 16:00:00,58.17
2016-08-10 16:00:00,58.16
2016-08-11 16:00:00,58.03
2016-08-12 16:00:00,58.03
,58.01
,57.61
,57.54
,57.42
,57.43
,57.6
,57.9
,57.8
,57.88
,58.28
,58.18
,57.98
,57.65
2016-09-01 16:00:00,57.01
2016-09-02 16:00:00,57.67
2016-09-06 16:00:00,57.78
2016-09-07 16:00:00,57.47
2016-09-08 16:00:00,57.63
2016-09-09 16:00:00,56.79
2016-09-12 16:00:00,56.0
,56.5
,56.39
,56.15
,57.63
,57.27
,57.35
,57.51
,57.92
,57.87
,57.08
,56.93
,57.88
,57.81
,57.57
2016-10-03 16:00:00,57.41
2016-10-04 16:00:00,57.27
2016-10-05 16:00:00,57.29
2016-10-06 16:00:00,57.74
2016-10-07 16:00:00,57.85
2016-10-10 16:00:00,57.91
2016-10-11 16:00:00,57.89
2016-10-12 16:00:00,57.11
,56.7
,57.12
,57.36
,57.53
,57.47
,57.5
,60.28
,59.94
,60.85
,60.81
,60.61
,60.01
,60.16
2016-11-01 16:00:00,59.97
2016-11-02 16:00:00,59.82
2016-11-03 16:00:00,59.53
2016-11-04 16:00:00,58.65
2016-11-07 16:00:00,59.78
2016-11-08 16:00:00,60.55
2016-11-09 16:00:00,60.0
2016-11-10 16:00:00,60.48
2016-11-11 16:00:00,58.23
,59.02
,58.33
,58.94
,60.41
,60.78
,60.5
,60.98
,61.01
,60.3
,60.34
,60.65
,60.86
2016-12-01 16:00:00,60.11
2016-12-02 16:00:00,59.08
2016-12-05 16:00:00,59.7
2016-12-06 16:00:00,60.43
2016-12-07 16:00:00,60.01
2016-12-08 16:00:00,61.3
2016-12-09 16:00:00,61.18
2016-12-12 16:00:00,61.82
,62.5
,63.0
,62.7
,62.95
,62.56
,63.69
,63.43
,63.84
,63.45
,63.21
,63.4
,62.86
,62.96
2017-01-03 16:00:00,62.79
2017-01-04 16:00:00,62.48
2017-01-05 16:00:00,62.19
2017-01-06 16:00:00,62.3
2017-01-09 16:00:00,62.76
2017-01-10 16:00:00,62.73
2017-01-11 16:00:00,62.61
2017-01-12 16:00:00,63.06
,62.62
,62.68
,62.67
,62.24
,62.67
,62.7
,63.2
,63.95
,64.12
,65.39
,65.69
,64.86
2017-02-01 16:00:00,64.36
2017-02-02 16:00:00,63.25
2017-02-03 16:00:00,63.5
2017-02-06 16:00:00,63.5
2017-02-07 16:00:00,63.74
2017-02-08 16:00:00,63.57
2017-02-09 16:00:00,63.52
2017-02-10 16:00:00,64.25
,64.24
,64.41
,64.5
,64.74
,64.47
,64.61
,64.33
,64.42
,64.53
,64.54
,64.08
2017-03-01 16:00:00,64.13
2017-03-02 16:00:00,64.69
2017-03-03 16:00:00,63.99
2017-03-06 16:00:00,63.97
2017-03-07 16:00:00,64.19
2017-03-08 16:00:00,64.26
2017-03-09 16:00:00,65.19
2017-03-10 16:00:00,65.11
,65.14
,64.53
,64.55
,64.75
,64.91
,64.91
,65.19
,64.12
,64.94
,65.12
,64.63
,64.96
,65.12
,65.42
,65.65
2017-04-03 16:00:00,65.81
2017-04-04 16:00:00,65.39
2017-04-05 16:00:00,66.3
2017-04-06 16:00:00,65.6
2017-04-07 16:00:00,65.85
2017-04-10 16:00:00,65.61
2017-04-11 16:00:00,65.6
2017-04-12 16:00:00,65.42
,65.29
,65.04
,65.33
,65.65
,65.46
,65.67
,67.48
,67.9
,68.08
,68.15
,68.91
2017-05-01 16:00:00,68.68
2017-05-02 16:00:00,69.71
2017-05-03 16:00:00,69.38
2017-05-04 16:00:00,69.03
2017-05-05 16:00:00,68.9
2017-05-08 16:00:00,68.97
2017-05-09 16:00:00,68.86
2017-05-10 16:00:00,68.99
2017-05-11 16:00:00,68.36
2017-05-12 16:00:00,68.61
,68.14
,68.23
,68.89
,67.4
,67.5
,67.89
,68.72
,68.87
,68.97
,69.8
,69.79
,70.53
2017-06-01 16:00:00,70.24
2017-06-02 16:00:00,70.44
2017-06-05 16:00:00,71.97
2017-06-06 16:00:00,72.3
2017-06-07 16:00:00,72.64
2017-06-08 16:00:00,72.51
2017-06-09 16:00:00,72.04
2017-06-12 16:00:00,69.25
,70.02
,70.91
,69.27
,69.73
,70.5
,70.82
,70.21
,70.54
,70.09
,71.4
,70.11
,69.21
,69.38
,68.78
2017-07-03 16:00:00,69.33
2017-07-05 16:00:00,68.26
2017-07-06 16:00:00,68.27
2017-07-07 16:00:00,68.7
2017-07-10 16:00:00,69.46
2017-07-11 16:00:00,70.0
2017-07-12 16:00:00,70.69
,71.5
,72.24
,72.8
,73.09
,73.5
,74.18
,73.45
,73.53
,73.8
,74.34
,73.76
